CAMIS,yelp_cat,price,rating,review_count,longitude,latitude,opens,closes,is_overnight
40365632,Pizza,1.0,4.0,229.0,40.6199507795829,-73.9896828,1030.0,2300.0,False
40365644,Sandwiches,2.0,4.0,391.0,40.76005,-73.98913,1130.0,2345.0,False
40365726,Italian,3.0,3.5,232.0,40.76031,-73.98889,1200.0,2330.0,False
40365784,Italian,2.0,3.5,234.0,40.57641,-73.98244,1200.0,2300.0,False
40365789,Italian,3.0,4.0,881.0,40.76553,-73.98274,1200.0,2230.0,False
40365841,Other,,,,,,,,False
40365844,Irish Pub,1.0,3.5,8.0,40.75695,-73.914253,,,False
40365871,Other,,,,,,,,False
40365882,Pizza,1.0,4.0,1939.0,40.7502059936523,-73.9953231811523,1030.0,2400.0,False
40365904,Cafes,1.0,3.5,30.0,40.715045,-73.998291,500.0,1730.0,False
40365938,American (New),2.0,4.0,87.0,40.7276604,-73.7090865,1130.0,2200.0,False
40365942,Seafood,2.0,3.5,786.0,40.714458,-73.998889,1100.0,2800.0,True
40365968,Dive Bars,1.0,4.0,219.0,40.72063,-74.00499,,,False
40365972,Bars,2.0,3.0,10.0,40.702072,-73.808601,,,False
40366002,Pizza,1.0,4.5,269.0,40.7045845329735,-73.7967360578922,1000.0,1930.0,False
40366054,Pubs,1.0,4.0,8.0,40.58121,-73.8299399,,,False
40366109,Other,,4.5,8.0,40.6704387476057,-73.9863058033621,1200.0,2200.0,False
40366132,Pizza,2.0,4.0,700.0,40.6302266718896,-74.1402754933448,1100.0,2345.0,False
40366154,Other,,,,,,,,False
40366162,Bars,1.0,2.5,10.0,40.69445,-73.82768,,,False
40366222,Other,,,,,,,,False
40366230,Italian,3.0,4.0,552.0,40.6689814908178,-73.8216334221041,1200.0,2145.0,False
40366356,American (Traditional),,3.5,10.0,40.5608959,-73.9114797,,,False
40366361,American (Traditional),2.0,3.0,75.0,40.59911,-73.95505,700.0,2300.0,False
40366381,Other,3.0,3.0,264.0,40.761011,-73.96072,2000.0,2600.0,True
40366396,Pubs,1.0,3.5,147.0,40.74414,-73.98307,1100.0,2800.0,True
40366425,Pizza,1.0,4.0,94.0,40.7328413960292,-73.8252383640662,1000.0,2430.0,True
40366471,Sandwiches,2.0,4.0,1071.0,40.5840481565596,-73.9396257952115,1100.0,2700.0,True
40366473,Breakfast & Brunch,2.0,3.5,428.0,40.732006072998,-74.0016479492188,1130.0,2400.0,False
40366487,American (Traditional),2.0,4.0,640.0,40.60019,-73.9422,1100.0,2500.0,True
40366497,Dive Bars,1.0,4.0,24.0,40.885126,-73.900247,,,False
40366543,Chinese,2.0,4.0,221.0,40.7506089,-73.8700722,1100.0,2230.0,False
40366549,Breakfast & Brunch,2.0,3.5,187.0,40.7197538285905,-73.8425123691559,1100.0,2800.0,True
40366574,Sandwiches,2.0,3.0,58.0,40.70656,-74.01363,1000.0,2700.0,True
40366586,Pizza,1.0,3.0,20.0,40.7272495,-73.8223971,,,False
40366652,Pizza,1.0,4.0,228.0,40.6985,-73.99273,,,False
40366661,Mexican,2.0,3.5,610.0,40.74514,-73.97598,1100.0,2300.0,False
40366711,American (New),2.0,4.0,42.0,40.629711,-74.112337,1000.0,2100.0,False
40366716,Chinese,3.0,3.0,300.0,40.75945,-73.96907,1200.0,2200.0,False
40366742,Bars,,5.0,1.0,40.5939674377441,-73.9299163818359,,,False
40366812,Italian,2.0,4.5,193.0,40.7303953764256,-73.7430101318771,1100.0,2200.0,False
40366857,Pubs,2.0,4.0,8.0,40.7053113,-73.8092906,,,False
40366879,American (New),2.0,4.0,266.0,40.7446937,-73.8843894,1200.0,2300.0,False
40366928,Other,,4.0,1.0,40.588348,-74.104656,900.0,2000.0,False
40366929,Bars,1.0,4.0,2.0,40.7006,-73.82628,,,False
40366938,Breakfast & Brunch,2.0,3.5,9.0,40.83181,-73.85121,500.0,1900.0,False
40366961,Southern,1.0,3.5,178.0,40.678761,-73.968143,1200.0,2230.0,False
40366993,American (Traditional),2.0,3.5,104.0,40.76867,-73.9556,1100.0,2500.0,True
40367005,Pizza,1.0,4.0,115.0,40.618881,-73.990798,1030.0,2300.0,False
40367038,Mexican,2.0,3.5,244.0,40.73981,-73.97984,1200.0,2230.0,False
40367161,Other,,,,,,,,False
40367164,Diners,2.0,2.5,156.0,40.61416,-73.92712,,,False
40367179,Irish Pub,2.0,3.5,85.0,40.7531173,-73.9966675,900.0,2800.0,True
40367183,Coffee & Tea,1.0,4.0,36.0,40.6125908,-74.0334473,,,False
40367189,Bars,2.0,3.5,242.0,40.723074,-74.002971,1100.0,2630.0,True
40367232,Pubs,1.0,4.0,30.0,40.7747574890129,-73.9121600308082,,,False
40367240,Sports Bars,1.0,4.5,11.0,40.741873,-73.904721,,,False
40367241,Bars,2.0,3.5,1249.0,40.77105,-73.95931,1130.0,2759.0,True
40367278,Pizza,1.0,3.0,109.0,40.7784233,-73.7772754,1100.0,2300.0,False
40367338,Other,,,,,,,,False
40367339,Other,,,,,,,,False
40367365,Other,,,,,,,,False
40367373,American (Traditional),2.0,3.5,354.0,40.763807,-73.962919,1030.0,2400.0,False
40367377,Other,2.0,4.0,446.0,40.7017618,-73.8813408,1200.0,2200.0,False
40367442,Other,,,,,,,,False
40367481,Other,,,,,,,,False
40367534,Mediterranean,2.0,2.5,275.0,40.75236,-73.98724,1100.0,2500.0,True
40367540,Italian,3.0,4.5,235.0,40.76476,-73.9117799,1200.0,2300.0,False
40367677,Diners,1.0,3.5,53.0,40.867615789175,-73.9215617626905,,,False
40367728,Other,,,,,,,,False
40367749,Italian,2.0,3.5,473.0,40.6557040405579,-73.8386900905761,1100.0,2800.0,True
40367752,Other,,,,,,,,False
40367766,Juice Bars & Smoothies,1.0,3.5,1349.0,40.7783783121866,-73.9815581747816,0.0,2400.0,False
40367789,Pizza,1.0,3.5,966.0,40.7090018174257,-73.830498211479,1100.0,2800.0,True
